"id_serial";"novelty_date";"available_date"
"1488";"2017-02-08";"2017-10-03"
"4807";"2016-02-01";"2016-10-02"
"4868";"2016-03-02";"2016-12-18"
"5008";"2016-05-24";"2016-12-20"
"4980";"2016-08-30";"2016-12-30"
"4981";"2016-08-30";"2016-12-30"
"4681";"2015-12-03";"2016-10-01"
"4909";"2016-04-05";"2016-10-01"
"4206";"2015-04-10";"2016-10-01"
"5157";"2016-12-16";"2017-02-17"
"4641";"2016-12-05";"2017-09-30"
"4863";"2016-02-26";"2016-09-30"
"4680";"2016-07-22";"2016-09-27"
"4571";"2015-11-25";"2016-09-25"
"4608";"2016-05-13";"2016-09-24"
"4644";"2016-05-13";"2016-09-24"
"4816";"2017-12-19";"2018-09-21"
"4817";"2017-02-08";"2017-09-21"
"4853";"2016-09-03";"2016-09-22"
"4540";"2016-06-29";"2016-09-21"
