"id_serial";"id_typ";"strava";"doprava";"ubytovani";"ubytovani_kategorie";"zeme";"destinace";"AVG(prumerna_cena)";"AVG(prumerna_cena_noc)";"AVG(delka)"
"3786";"6";"1";"1";"7";"0.00";"Česká republika";;"750.0000";"750.0000";"1.0000"
"3802";"4";"2";"3";"6";"2.00";"Tenis";;"13418.5714";"5733.5714";"3.4286"
"2530";"3";"3";"1";"6";"2.00";"Autokarem do termálů";"Slovensko - Velký Meder";"4890.0000";"701.2500";"11.5000"
"2505";"2";"1";"3";"6";"2.00";"Španělsko";;"15927.0652";"5308.8478";"4.0000"
"3832";"3";"3";"1";"6";"2.00";"Autokarem do termálů";"Slovensko - Velký Meder";"8690.0000";"957.2500";"12.0000"
"1210";"3";"3";"1";"6";"2.00";"Česká republika";"Poděbrady";"751.6667";"751.6667";"2.0000"
"1203";"3";"3";"1";"6";"2.00";"Česká republika";"Poděbrady";"5523.3333";"1967.0667";"5.2000"
"2728";"1";"2";"1";"6";"2.00";"Česká republika";"Jižní Morava";"420.8000";"420.8000";"2.0000"
"2676";"3";"3";"1";"6";"3.00";"Slovensko";"Trenčianské Teplice";"5798.0000";"1813.8400";"4.6800"
"2202";"3";"3";"1";"6";"3.00";"Slovensko";"Trenčianské Teplice";"13697.0000";"1956.1733";"8.0000"
"2480";"3";"3";"1";"6";"3.00";"Slovensko";"Trenčianské Teplice";"7892.9787";"1972.7447";"5.0000"
"2208";"3";"3";"1";"6";"3.00";"Slovensko";"Trenčianské Teplice";"7112.0652";"1777.5163";"5.0000"
"352";"4";"2";"1";"6";"2.00";"Anglie:Fotbal";"Premier League:Velká Británie";"12517.8689";"12388.8525";"2.0164"
"3754";"4";"1";"1";"7";"0.00";"Fotbal";"Bundesliga";"5469.6429";"5469.6429";"1.0000"
"3793";"4";"1";"1";"6";"2.00";"Chorvatsko:Letectví";"red bull air race";"1190.3750";"919.3750";"2.5000"
"2402";"3";"2";"1";"0";"3.00";"Česká republika";"Libverda";"560.0000";"560.0000";"2.0000"
"844";"7";"3";"1";"6";"2.00";"Česká republika";"Krkonoše";"7070.0000";"1009.5000";"8.0000"
"845";"7";"3";"1";"6";"2.00";"Česká republika:Česká republika, víkendové pobyty";"Krkonoše";"1985.0000";"662.0000";"4.0000"
"984";"7";"2";"1";"6";"2.00";"Česká republika";"Krkonoše";"4268.3103";"981.6897";"4.7586"
"725";"6";"1";"2";"7";"0.00";"Polsko";;"396.0417";"396.0417";"1.0000"
"3278";"3";"3";"1";"7";"0.00";"Česká republika";"Luhačovice";"10376.5000";"1729.5000";"7.0000"
"2570";"3";"3";"1";"7";"0.00";"Česká republika";"Luhačovice";"3882.0690";"1941.0345";"3.0000"
"3907";"7";"2";"1";"6";"3.00";"Slovensko";"Vysoké Tatry";"2717.1429";"489.1429";"7.5714"
"3803";"4";"2";"3";"6";"3.00";"Tenis";"WTA Singapur";"33940.0000";"8154.7000";"5.2000"
"465";"4";"2";"3";"6";"2.00";"Anglie:Fotbal";"Liga mistrů";"17870.7647";"17870.7647";"2.0000"
"464";"4";"2";"3";"6";"2.00";"Fotbal:Španělsko";"Liga mistrů:Španělsko";"14443.7632";"12220.8684";"2.4211"
"697";"4";"2";"1";"6";"2.00";"Fotbal:Itálie";"Liga mistrů";"6008.5714";"6008.5714";"1.7143"
"2158";"3";"3";"1";"0";"4.00";"Česká republika";"Mariánské Lázně";"14819.0909";"2116.6364";"8.0000"
"2458";"3";"3";"1";"0";"4.00";"Česká republika";"Mariánské Lázně";"6631.8182";"2210.2727";"4.0000"
"2459";"3";"3";"1";"0";"4.00";"Česká republika";"Mariánské Lázně";"4035.0000";"2017.5000";"3.0000"
"2461";"3";"2";"1";"0";"4.00";"Česká republika";"Mariánské Lázně";"1473.0000";"1098.0000";"5.0000"
"2791";"3";"3";"1";"6";"3.00";"Česká republika:Česká republika, víkendové pobyty";"Jáchymov";"14063.5294";"1502.0588";"10.4706"
"2993";"4";"2";"3";"6";"2.00";"Fotbal";"Španělská liga:Španělsko";"17481.6715";"8740.8321";"3.0000"
"3849";"4";"1";"1";"7";"0.00";"Fotbal";"Bundesliga";"7692.1429";"3846.0714";"3.0000"
"3666";"2";"2";"3";"6";"2.00";"Nepál";;"35188.7288";"3582.0720";"11.1610"
"3908";"7";"2";"1";"7";"0.00";"Slovensko";"Liptovský Mikuláš:Nízké Tatry";"2548.0000";"489.1429";"6.2857"
"2725";"6";"1";"2";"7";"0.00";"Německo";;"589.3000";"589.3000";"1.0000"
"420";"4";"1";"3";"7";"0.00";"Hokej:USA";"NHL";"6135.1826";"6135.1826";"1.0000"
"440";"4";"1";"3";"7";"0.00";"Hokej:USA";"NHL";"3516.8980";"3516.8980";"1.0000"
